year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,state_province,country,start,gateway_enter,gateway_exit,melgeorges_enter,melgeorges_exit,myrtle_lake_enter,myrtle_lake_exit,crescent_enter,crescent_exit,ski_pulk_enter,ski_pulk_exit,finish_time,overall_duration,comments,unsupported
2022,Run,999,"Adams, Amy",Adams,Amy,,,2,MD USA,,MD,USA,1/31 07:04,1/31 21:10,,,,,,,,,,,,Gateway,
2023,Foot,999,"Adams, Amy",Adams,Amy,,,2,USA/MD,,MD,USA,1/30/2023 7:04,1/30/2023 19:14,1/30/2023 20:37,,,,,,,,,,,Dropped mile 55,
2010,Foot,,,Adams,Deanna,F,21,51,,,,,2/1/2010 7:03,2/1/2010 19:55,,,,,,,,,,,,Gateway +,
2017,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,MN,USA,1/30 07:00,1/30 10:06,1/30 10:06,1/30 14:05,1/30 14:05,,,,,1/30 19:36,1/30 19:36,1/30 22:58,15:58:02,,TRUE
2018,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/29 07:02,1/29 10:42,1/29 10:42,1/29 15:15,1/29 15:26,,,,,1/29 21:16,1/29 22:14,1/30 01:56,18:54:00,,TRUE
2020,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/27 07:00,1/27 10:31,1/27 10:32,1/27 15:24,1/27 15:24,,,,,1/27 21:52,1/27 22:25,1/28 01:54,18:54:00,,TRUE
2015,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/26 07:00,1/26 10:31,1/26 10:36,1/26 14:55,1/26 15:09,,,,,1/26 21:05,1/26 21:10,1/26 23:52,16:52:00,,
2022,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/31 07:00,1/31 10:34,1/31 11:23,1/31 16:16,1/31 16:50,,,,,1/31 22:37,1/31 22:36,2/1 01:41,18:41:00,,
2019,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/28 07:00,1/28 10:40,1/28 11:04,1/28 15:35,1/28 16:44,,,,,1/28 22:20,1/28 23:10,1/29 02:10,19:10:00,,
2016,Bike,6,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,,1/25 07:00,1/25 11:04,1/25 11:07,1/25 16:44,1/25 17:18,,,,,1/26 00:41,1/26 00:46,1/26 04:43,21:43:00,,
2023,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,USA/MN,,,,1/30/2023 7:00,1/30/2023 11:34,1/30/2023 12:14,1/30/2023 17:11,1/30/2023 18:20,,,,,1/31/2023 0:25,1/31/2023 0:35,1/31/2023 3:48,,,
2023,Foot,999,"Aili, Danni",Aili,Danni,,,3,USA/MN,,,,1/30/2023 7:04,1/30/2023 19:07,1/30/2023 20:19,,,,,,,,,,,Dropped at Leslie Rd,
2012,Run,17,ROBERTO ALDOVINI,Aldovini,Roberto,,,117,BRESCIA ITALY,,,,1/30 07:04,1/30 17:30,1/30 19:03,1/31 08:29,1/31 10:03,,,,,2/1 05:13,2/1 06:11,2/1 14:20,55:16:00,,
2010,Foot,,,Aldovini,Roberto,M,37,52,,,,,2/1/2010 7:03,2/1/2010 17:23,2/1/2010 18:47,2/2/2010 7:37,2/2/2010 11:22,,,,,,,,,Crescent tipi,
2015,Run,20,"Alldredge, Kevin",Alldredge,Kevin,,,2,MN USA,,,,1/26 07:04,1/26 17:31,1/26 18:13,1/27 05:50,1/27 08:35,,,,,1/27 23:20,1/28 00:21,1/28 10:45,51:41:00,,
2011,Run,15,MARCIO VILLAR DO AMARAL,Amaral,Marcio,,,114,,,,,1/31 07:01,1/31 16:30,1/31 18:12,2/1 06:46,2/1 10:03,,,,,2/2 04:42,2/2 07:05,2/2 13:52,54:51:00,,
2013,Run,999,MARCIO VILLAR DO AMARAL,Amaral,Marcio,,,130,BRAZIL,,,,1/28 07:04,,,,,,,,,,,,,Dropped b/f Gatway - physical,
2019,Run,999,"Amaral, Marcio Villar Do",Amaral,Marcio,,,2,BRA BRA,,,,1/28 07:04,1/28 19:35,1/28 20:25,,,,,,,,,,,,
