year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,country,start_time,gateway_enter_time,gateway_exit_time,gateway_time_duration,melgeorges_enter_time,melgeorges_exit_time,melgeorges_time_duration,myrtle_lake_enter_time,myrtle_lake_exit_time,myrtle_lake_time_duration,crescent_enter_time,crescent_exit_time,crescent__time_duration,ski_pulk_enter_time,ski_pulk_exit_time,ski_pulk_time_duration,finish_time,overall_time_duration,overall_time_duration_computed,comments,unsupported
2022,Run,999,"Adams, Amy",Adams,Amy,,,2,MD USA,,USA,2022-01-31T07:04:00.0000000,2022-01-31T21:10:00.0000000,,,,,,,,,,,,,,,,,,Gateway,
2023,Foot,999,"Adams, Amy",Adams,Amy,,,2,USA/MD,,USA,2023-01-30T07:04:00.0000000,2023-01-30T19:14:00.0000000,2023-01-30T20:37:00.0000000,1:23:00,,,,,,,,,,,,,,,,Dropped mile 55,
2010,Foot,,,Adams,Deanna,F,21,51,,,,2010-02-01T07:03:00.0000000,2010-02-01T19:55:00.0000000,,,,,,,,,,,,,,,,,,Gateway +,
2017,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,USA,2017-01-30T07:00:00.0000000,2017-01-30T10:06:00.0000000,2017-01-30T10:06:00.0000000,0:00:00,2017-01-30T14:05:00.0000000,2017-01-30T14:05:00.0000000,0:00:00,,,,,,,2017-01-30T19:36:00.0000000,2017-01-30T19:36:00.0000000,0:00:00,2017-01-30T22:58:00.0000000,15:58:02,15:58:00,,TRUE
2018,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T10:42:00.0000000,2018-01-29T10:42:00.0000000,0:00:00,2018-01-29T15:15:00.0000000,2018-01-29T15:26:00.0000000,0:11:00,,,,,,,2018-01-29T21:16:00.0000000,2018-01-29T22:14:00.0000000,0:58:00,2018-01-30T01:56:00.0000000,18:54:00,18:54:00,,TRUE
2020,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2020-01-27T07:00:00.0000000,2020-01-27T10:31:00.0000000,2020-01-27T10:32:00.0000000,0:01:00,2020-01-27T15:24:00.0000000,2020-01-27T15:24:00.0000000,0:00:00,,,,,,,2020-01-27T21:52:00.0000000,2020-01-27T22:25:00.0000000,0:33:00,2020-01-28T01:54:00.0000000,18:54:00,18:54:00,,TRUE
2015,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T10:31:00.0000000,2015-01-26T10:36:00.0000000,0:05:00,2015-01-26T14:55:00.0000000,2015-01-26T15:09:00.0000000,0:14:00,,,,,,,2015-01-26T21:05:00.0000000,2015-01-26T21:10:00.0000000,0:05:00,2015-01-26T23:52:00.0000000,16:52:00,16:52:00,,
2022,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2022-01-31T07:00:00.0000000,2022-01-31T10:34:00.0000000,2022-01-31T11:23:00.0000000,0:49:00,2022-01-31T16:16:00.0000000,2022-01-31T16:50:00.0000000,0:34:00,,,,,,,2022-01-31T22:37:00.0000000,2022-01-31T22:36:00.0000000,0:01:00,2022-02-01T01:41:00.0000000,18:41:00,18:41:00,,
2019,Bike,9,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2019-01-28T07:00:00.0000000,2019-01-28T10:40:00.0000000,2019-01-28T11:04:00.0000000,0:24:00,2019-01-28T15:35:00.0000000,2019-01-28T16:44:00.0000000,1:09:00,,,,,,,2019-01-28T22:20:00.0000000,2019-01-28T23:10:00.0000000,0:50:00,2019-01-29T02:10:00.0000000,19:10:00,19:10:00,,
2016,Bike,6,"Adrian, Pat",Adrian,Pat,,,1,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T11:04:00.0000000,2016-01-25T11:07:00.0000000,0:03:00,2016-01-25T16:44:00.0000000,2016-01-25T17:18:00.0000000,0:34:00,,,,,,,2016-01-26T00:41:00.0000000,2016-01-26T00:46:00.0000000,0:05:00,2016-01-26T04:43:00.0000000,21:43:00,21:43:00,,
